"","","GR19-MIT5","IS19-13","IS19-14"
"2464","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Auriculariales;Hyaloriaceae;Pseudohydnum;Pseudohydnum gelatinosum",15,NA,NA
"2465","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Boletales;uncultured;uncultured Boletaceae",7,NA,NA
"2466","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Cantharellales;Hydnum;Hydnum repandum",NA,NA,1
"2467","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Corticiales;Dendrocorticium;Dendrocorticium roseocarneum",7,NA,NA
"2468","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Russulales;Auriscalpiaceae;Artomyces;Artomyces pyxidatus",7,NA,NA
"2469","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Russulales;Hericiaceae;Hericium;Hericium coralloides",NA,NA,1
"2470","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Russulales;Lachnocladiaceae;Lachnocladium sp. BK171002-23",7,NA,NA
"2471","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;uncultured;uncultured Auriculariaceae",9,NA,NA
"2472","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;uncultured;uncultured Boletaceae",119,NA,2
"2473","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Geminibasidiomycetes;Geminibasidiales;Geminibasidiaceae;Basidioascus;Basidioascus undulatus",12,NA,NA
"2474","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium;Cystofilobasidium infirmominiatum",1,NA,NA
"2475","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Mrakia;Mrakia frigida",12,NA,NA
"2476","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Filobasidiales;Piskurozymaceae;Piskurozyma;Piskurozyma taiwanensis",1,NA,NA
"2477","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Trichosporonales;Trichosporonaceae;Cutaneotrichosporon;Cutaneotrichosporon daszewskae",NA,NA,2
"2478","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon;Parmotrema margaritatum",17,NA,NA
"2479","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Agaricostilbomycetes;Agaricostilbales;Ruineniaceae;Ruinenia;Ruinenia clavata",1,NA,NA
"2480","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Cystobasidiomycetes;Erythrobasidiales;Incertae Sedis;Hasegawazyma;Erythrobasidiales sp. EJ",1,NA,NA
"2481","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Cystobasidiomycetes;Incertae Sedis;Incertae Sedis;uncultured;uncultured fungus",2,NA,NA
"2482","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Incertae Sedis;Chrysozymaceae;Chrysozyma;Chrysozyma griseoflava",12,NA,NA
"2483","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Incertae Sedis;Chrysozymaceae;Fellozyma;Fellozyma inositophila",45,NA,NA
"2484","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Incertae Sedis;Chrysozymaceae;Hamamotoa;Hamamotoa lignophila",11,NA,NA
"2485","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Incertae Sedis;Chrysozymaceae;Hamamotoa;Hamamotoa singularis",13,NA,NA
"2486","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Incertae Sedis;Chrysozymaceae;Oberwinklerozyma;Oberwinklerozyma yarrowii",154,13,1
"2487","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Incertae Sedis;Chrysozymaceae;Pseudohyphozyma;Pseudohyphozyma bogoriensis",10,15,2
"2488","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Incertae Sedis;Chrysozymaceae;Sampaiozyma;Sampaiozyma vanillica",15,NA,NA
"2489","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Incertae Sedis;Chrysozymaceae;Slooffia;Slooffia pilati",9,NA,NA
"2490","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Incertae Sedis;Chrysozymaceae;Slooffia;Slooffia tsugae",11,NA,NA
"2491","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Incertae Sedis;Chrysozymaceae;uncultured Sporidiobolales",19,NA,2
"2492","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Incertae Sedis;Chrysozymaceae;Vonarxula;Vonarxula javanica",8,3,NA
"2493","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Incertae Sedis;Chrysozymaceae;Yunzhangia;Yunzhangia sonckii",1,NA,NA
"2494","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Kriegeriales;Camptobasidiaceae;Camptobasidium;Leucosporidium sp.",58,3,NA
"2495","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Kriegeriales;Camptobasidiaceae;Camptobasidium;uncultured urediniomycete",244,57,3
"2496","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Kriegeriales;Camptobasidiaceae;uncultured eukaryote",466,266,8
"2497","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Kriegeriales;Kriegeriaceae;Kriegeria;Kriegeria eriophori",33,NA,NA
"2498","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Kriegeriales;Kriegeriaceae;Phenoliferia;Phenoliferia glacialis",26,NA,NA
"2499","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Kriegeriales;Kriegeriaceae;Yamadamyces;Yamadamyces rosulatus",9,11,NA
"2500","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium;Leucosporidium fellii",81,11,1
"2501","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium;Leucosporidium muscorum",45,5,NA
"2502","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium;Leucosporidium scottii",55,NA,NA
"2503","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium;Leucosporidium yakuticum",37,NA,NA
"2504","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium;uncultured fungus",47,9,1
"2505","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Microbotryales;Microbotryaceae;Microbotryum;Microbotryum violaceum",516,35,2
"2506","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Microbotryales;Ustilentylomataceae;Ustilentyloma;Heitmania litseae",13,NA,NA
"2507","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodosporidiobolus;Rhodosporidiobolus azoricus",250,65,NA
"2508","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula babjevae",91,12,NA
"2509","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula mucilaginosa",15,NA,NA
"2510","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula toruloides",9,NA,NA
"2511","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;uncultured fungus",27,NA,NA
"2512","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;unidentified",1,NA,NA
"2513","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces;Sporobolomyces johnsonii",96,12,NA
"2514","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces;Sporobolomyces roseus",21,NA,NA
"2515","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;uncultured;uncultured fungus",225,23,NA
"2516","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Tritirachiomycetes;Tritirachiales;Tritirachiaceae;Paratritirachium;Paratritirachium cylindroconium",9,NA,NA
"2517","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes;Microstromatales;Jaminaea;Jaminaea angkorensis",9,NA,NA
"2518","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;uncultured fungus",NA,NA,2
"2519","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Ustilaginomycetes;Ustilaginales;Anthracoideaceae;Anthracoidea;Anthracoidea karii",NA,4,NA
"2520","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Sporisorium;Sporisorium scitamineum",1,NA,NA
"2521","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;LKM15;uncultured eukaryote",1,NA,NA
"2522","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Glomeromycotina;Glomeromycetes;Archaeosporales;Ambisporaceae;Ambispora;Ambispora granatensis",7,NA,NA
"2523","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Glomeromycotina;Glomeromycetes;Diversisporales;Acaulosporaceae;Acaulospora;Glomeromycotina sp.",1,NA,NA
"2524","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Glomeromycotina;Glomeromycetes;Diversisporales;Diversisporaceae;Diversispora;Diversispora eburnea",7,NA,NA
"2525","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Glomus;metagenome",11,NA,NA
"2526","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Glomus;uncultured Eimeriidae",7,NA,NA
"2527","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Glomus;uncultured Glomus",1,NA,NA
"2528","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Mortierellomycotina;Incertae Sedis;Mortierellales;Mortierellaceae;Mortierella;Mortierella alpina",65,NA,NA
"2529","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Mucoromycotina;Incertae Sedis;Endogonales;Endogonaceae;Endogone;Endogone sp. PERTH 7648049",8,NA,NA
"2530","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Mucoromycotina;Incertae Sedis;Endogonales;Endogonaceae;Endogone;Mucoromycotina sp. MIB 8827",1,NA,NA
"2531","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Mucoromycotina;Incertae Sedis;Endogonales;Endogonaceae;uncultured;uncultured Eimeriidae",14,NA,NA
"2532","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Mucoromycotina;Incertae Sedis;Mucorales;Mucoraceae;Mucor;Mucor endophyticus",1,NA,NA
"2533","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Neocallimastigomycota;Incertae Sedis;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Neocallimastix;Neocallimastix californiae",1,NA,NA
"2534","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Neocallimastigomycota;Incertae Sedis;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Orpinomyces sp. C1A",43,NA,NA
"2535","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;uncultured;uncultured Eimeriidae",13,NA,NA
"2536","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Entomophthoromycotina;Basidiobolomycetes;Basidiobolales;Basidiobolaceae;Schizangiella;Schizangiella serpentis",15,NA,NA
"2537","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Entomophthoromycotina;Entomophthoromycetes;Entomophthorales;Entomophthoraceae;Entomophaga;Entomophaga aulicae",1,NA,NA
"2538","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Entomophthoromycotina;Entomophthoromycetes;Entomophthorales;Entomophthoraceae;Furia;Furia ithacensis",2,NA,NA
"2539","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Entomophthoromycotina;Entomophthoromycetes;Entomophthorales;Entomophthoraceae;Zoophthora;Zoophthora occidentalis",1,NA,NA
"2540","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Kickxellomycotina;Incertae Sedis;Harpellales;Harpellaceae;Stachylina;Stachylina lentica",9,NA,NA
"2541","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Kickxellomycotina;Incertae Sedis;Harpellales;Harpellomyces sp. PA-3-1d",1,NA,NA
"2542","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Kickxellomycotina;Incertae Sedis;Harpellales;Legeriomycetaceae;Graminella;Graminella microspora",1,NA,NA
"2543","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Kickxellomycotina;Incertae Sedis;Harpellales;Legeriomycetaceae;Smittium;Smittium orthocladii",10,NA,NA
"2544","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Kickxellomycotina;Incertae Sedis;Harpellales;Legeriomycetaceae;Smittium;Smittium sp. CO-13-W10",22,NA,NA
"2545","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Kickxellomycotina;Incertae Sedis;Kickxellales;Kickxellaceae;Spiromyces;Spiromyces minutus",2,NA,NA
"2546","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Zoopagomycotina;Incertae Sedis;Zoopagales;Piptocephalidaceae;Piptocephalis;Piptocephalis indica",1,NA,NA
"2547","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Zoopagomycotina;Incertae Sedis;Zoopagales;Rhopalomyces;Rhopalomyces elegans",2,NA,NA
"2548","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Zoopagomycotina;Incertae Sedis;Zoopagales;uncultured Eimeriidae",8,NA,NA
"2549","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Zoopagomycotina;Incertae Sedis;Zoopagales;uncultured eukaryote",9,NA,NA
"2550","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Zoopagomycotina;Incertae Sedis;Zoopagales;uncultured Plakinidae sp.",25,NA,NA
"2551","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Nucleariidae and Fonticula group;Nucleariidae;Nuclearia;Nuclearia moebiusi",7,NA,NA
"2552","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Nucleariidae and Fonticula group;Nucleariidae;Nuclearia;Nuclearia sp. D1",9,NA,NA
"2553","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Nucleariidae and Fonticula group;Nucleariidae;Nuclearia;Nuclearia thermophila",11,NA,NA
"2554","Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Nucleariidae and Fonticula group;Nucleariidae;Nuclearia;uncultured fungus",1,NA,NA
"2555","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Amb-18S-504;Phaseoleae environmental sample",1190,22,4
"2556","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Chlorokybophyceae;Chlorokybus;Chlorokybus atmophyticus",347,NA,NA
"2557","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiophyceae;Klebsormidiales;Entransia;Entransia fimbriata",185,NA,NA
"2558","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiophyceae;Klebsormidiales;Hormidiella;Hormidiella attenuata",545,NA,NA
"2559","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiophyceae;Klebsormidiales;Klebsormidium;Klebsormidium crenulatum",80,NA,NA
"2560","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiophyceae;Klebsormidiales;Klebsormidium;Klebsormidium flaccidum",14960,NA,2
"2561","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiophyceae;Pseudopleurococcus sp. SAG 36.98",829,NA,NA
"2562","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Mesostigmatophyceae;Mesostigma;Mesostigma viride",17,NA,NA
"2563","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Coleochaetophyceae;Chaetosphaeridiales;Chaetosphaeridium;Chaetosphaeridium globosum",1128,NA,NA
"2564","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Coleochaetophyceae;Coleochaete;Coleochaete nitellarum",21,NA,NA
"2565","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Coleochaetophyceae;Coleochaete;Coleochaete orbicularis",180,NA,NA
"2566","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Coleochaetophyceae;Coleochaete;Coleochaete pulvinata",123,2,NA
"2567","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Coleochaetophyceae;Coleochaete;Coleochaete sp. 40D2",7,NA,NA
"2568","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Charophyceae;Charales;Chara;Chara haitensis",45,NA,NA
"2569","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Charophyceae;Charales;Nitellaceae;Nitella;Nitella axillaris",9,NA,NA
"2570","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Charophyceae;Charales;Nitellopsis;Nitellopsis obtusa",1,NA,NA
"2571","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Anthocerotophyta;Anthocerotales;Anthoceros;Anthoceros agrestis",47,NA,NA
"2572","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Anthocerotophyta;Notothyladales;Notothylas;Notothylas breutelii",78,NA,NA
"2573","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Andreaeales;Andreaeaceae;Andreaea;Andreaea nivalis",56,4,NA
"2574","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Bryales;Bryum;Bryum argenteum var. argenteum",2643,NA,NA
"2575","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Bryales;Cinclidium;Cinclidium stygium",50,NA,NA
"2576","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Bryales;Leucolepis;Leucolepis menziesii",464,NA,NA
"2577","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Bryales;Mielichhoferia;Mielichhoferia elongata",14,NA,NA
"2578","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Bryales;Mnium;Mnium hornum",1,NA,NA
"2579","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Bryales;Pohlia;Pohlia nutans",13,NA,NA
"2580","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Bryales;Scouleria;Scouleria aquatica",27,NA,NA
"2581","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Bryophyta environmental sample",31,NA,NA
"2582","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Dicksoniaceae environmental sample",49,NA,NA
"2583","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Dicranales;Archidium;Archidium donnellii",1,NA,NA
"2584","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Dicranales;Calymperes;Calymperes erosum",30,NA,NA
"2585","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Dicranales;Fissidens;Fissidens taxifolius",2543,NA,2
"2586","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Dicranales;Syrrhopodon;Syrrhopodon mahensis",41,NA,NA
"2587","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Diphysciales;Theriotia;Theriotia lorifolia",11,NA,NA
"2588","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Encalyptales;Bryobrittonia;Bryobrittonia longipes",178,2,NA
"2589","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Encalyptales;Encalyptaceae;Encalypta;Encalypta armata",NA,NA,5
"2590","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Encalyptales;Encalyptaceae;Encalypta;Encalypta ciliata",1,NA,NA
"2591","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Encalyptales;Encalyptaceae;Encalypta;Encalypta streptocarpa",82,NA,NA
"2592","Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Bryophyta;Ephemerum spinulosum",26,NA,NA
